MML0033,Medical Role
laboratoryTest,検体検査
endoScopy,内視鏡検査
xRay,単純レントゲン写真
upperGi,上部消化管造影検査
baEnema,バリウム注腸検査
ctScan,CTスキャン
mri,MRI
riInVivo,RI画像検査
angioGraphy,血管造影
otherRadiology,その他の放射線学的検査
echo,エコー
ecg,心電図
eeg,脳波
emg,筋電図
pcg,心音図
pulmonaryFunction,肺機能検査
otherPhysiologicalTest,その他の生理学的検査
prescription,処方箋
vitalSign,熱型表
physicalExam,理学所見（図など）
anesthesiaCourse,麻酔経過表
pathology,病理検査（画像など）
surgicalFigure,手術記録図
referencePaper,参考文献
referenceFigure,参考図
treatment,"処置（指示，記録など）"
other,上記に含まれないもの
